2019-12-24 23:12:37.914 [main] INFO  - Loading §anukkit.yml§f ...
2019-12-24 23:56:14.109 [main] INFO  - §b[Owner]§fBeasty6000: to get in a call with me and him '
2019-12-24 23:56:18.512 [main] INFO  - §b[Owner]§fBeasty6000: the discord is at spawn
2019-12-24 23:56:20.872 [main] INFO  - §b[Owner]§fBeasty6000: read it
2019-12-24 23:56:21.960 [main] INFO  - §7[Member]§fcyruswwpro: already or how can i get in
2019-12-24 23:56:48.511 [main] INFO  - §7[Member]§fDarkDragon3918: whats ur name
2019-12-24 23:56:53.764 [main] INFO  - §7[Member]§fDarkDragon3918: on disc
2019-12-24 23:56:54.059 [main] INFO  - §7[Member]§fcyruswwpro: cyrus
2019-12-24 23:57:00.410 [main] INFO  - §7[Member]§fDarkDragon3918: but like....
2019-12-24 23:57:00.511 [main] INFO  - §7[Member]§fcyruswwpro: lemon knows
2019-12-24 23:57:03.160 [main] INFO  - §b[Owner]§fBeasty6000: ohh its u
2019-12-24 23:57:05.809 [main] INFO  - §7[Member]§fDarkDragon3918: lemons afk
2019-12-24 23:57:23.311 [main] INFO  - §b[Owner]§fBeasty6000: its me EpicGamerYTINky
2019-12-24 23:57:30.362 [main] INFO  - §7[Member]§fDarkDragon3918: Its me his friend
2019-12-24 23:57:36.060 [main] INFO  - §7[Member]§fcyruswwpro: wut r u guys doing
2019-12-24 23:57:42.410 [main] INFO  - §b[Owner]§fBeasty6000: faction
2019-12-24 23:57:45.210 [main] INFO  - §7[Member]§fDarkDragon3918: Building our faction base
2019-12-24 23:57:46.511 [main] INFO  - §b[Owner]§fBeasty6000: making a base
2019-12-24 23:57:48.212 [main] INFO  - §7[Member]§fcyruswwpro: how
2019-12-24 23:57:51.760 [main] INFO  - §7[Member]§fcyruswwpro: can i join
2019-12-24 23:57:51.810 [main] INFO  - §7[Member]§fDarkDragon3918: and random stuff
2019-12-24 23:57:52.460 [main] INFO  - §b[Owner]§fBeasty6000: want to join us ?
2019-12-24 23:57:57.760 [main] INFO  - §7[Member]§fcyruswwpro: yes
2019-12-24 23:58:03.062 [main] INFO  - §b[Owner]§fBeasty6000: stand still
2019-12-24 23:58:03.660 [main] INFO  - §7[Member]§fDarkDragon3918: Its called DaddyChan
2019-12-24 23:58:07.410 [main] INFO  - §7[Member]§fDarkDragon3918: faction
2019-12-24 23:58:08.557 [main] INFO  - §c5 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:58:09.557 [main] INFO  - §c4 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:58:10.558 [main] INFO  - §c3 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:58:11.560 [main] INFO  - §c2 seconds left to cleaning items on the ground, animals and mobs!
2019-12-24 23:58:12.558 [main] INFO  - §c1 second left to cleaning items on the ground, animals and mobs!
2019-12-24 23:58:13.568 [main] INFO  - §cItems on the ground, animals and mobs deleted!
2019-12-24 23:58:23.610 [main] INFO  - §b[Owner]§fBeasty6000: join
2019-12-24 23:58:32.710 [main] INFO  - §7[Member]§fcyruswwpro: how
2019-12-24 23:58:36.210 [main] INFO  - §b[Owner]§fBeasty6000: do
2019-12-24 23:58:56.411 [main] INFO  - §b[Owner]§fBeasty6000: ./f join DaddyChan
2019-12-24 23:59:26.462 [main] INFO  - [Factions] [Factions v1.7.0] cyruswwpro joined the faction DaddyChan.
2019-12-24 23:59:30.310 [main] INFO  - §7[Member]§fcyruswwpro: ok la
2019-12-24 23:59:33.861 [main] INFO  - §7[Member]§fcyruswwpro: can i come
2019-12-24 23:59:36.425 [main] INFO  - [Beasty6000: Teleported Beasty6000 to DarkDragon3918]
2019-12-24 23:59:44.679 [main] INFO  - [Beasty6000: Teleported cyruswwpro to Beasty6000]
